,FSU,Schedule,Survey Year,Sector,NSS-region,State,District,Stratum,Sub-stratum,Sub round,FOD sub region,Sample HHID,Level,Filler,HH size,Religion,Social group,Land Own,Monthly HH expenses A,Impute Home grown B,Wages in Kind C,HH durable spent D,Usual monthly expenses - ABCD,Cooking energy,lighting energy,Washing clothes,Sweeping floor,Dwelling structure,Care giver,NSC,Multiplier
768,TUS21222,106,2019,2,13,1,8,01,01,3,0122,09,3,0,5,1,3,3,15000,300,300,10000,16433,2,1,2,2,3,0,003,0000051176
769,TUS21222,106,2019,2,13,1,8,01,01,3,0122,10,3,0,4,1,3,5,8500,800,300,15600,10900,2,1,2,2,3,2,003,0000051176
770,TUS21222,106,2019,2,13,1,8,01,01,3,0122,11,3,0,4,1,3,3,6000,450,500,8000,7617,2,1,2,2,3,1,003,0000051176
771,TUS21222,106,2019,2,13,1,8,01,01,3,0122,12,3,0,4,1,3,3,5000,600,850,12000,7450,2,1,2,2,3,2,003,0000051176
772,TUS21222,106,2019,2,13,1,8,01,01,3,0122,13,3,0,6,1,3,3,8000,0,750,6000,9250,2,1,2,2,3,0,003,0000051176
773,TUS21222,106,2019,2,13,1,8,01,01,3,0122,14,3,0,3,1,3,3,4000,0,0,15000,5250,2,1,2,2,3,2,003,0000051176
774,TUS21269,106,2019,2,11,1,7,02,01,4,0110,01,3,0,2,1,1,1,9000,0,0,0,9000,2,1,2,2,3,2,004,0000044943
775,TUS21269,106,2019,2,11,1,7,02,01,4,0110,02,3,0,2,1,9,4,15000,2000,0,0,17000,2,1,2,2,3,2,004,0000044943
776,TUS21269,106,2019,2,11,1,7,02,01,4,0110,03,3,0,2,4,9,1,20000,0,0,0,20000,2,1,3,3,3,2,004,0000044943
777,TUS21269,106,2019,2,11,1,7,02,01,4,0110,04,3,0,2,1,1,1,10000,0,0,6500,10542,2,1,2,2,3,2,004,0000044943
778,TUS21269,106,2019,2,11,1,7,02,01,4,0110,05,3,0,6,1,2,1,20000,700,0,0,20700,2,1,1,2,3,2,004,0000044943
779,TUS21269,106,2019,2,11,1,7,02,01,4,0110,06,3,0,6,1,9,2,15000,500,0,0,15500,1,1,2,2,3,2,004,0000044943
780,TUS21269,106,2019,2,11,1,7,02,01,4,0110,07,3,0,4,1,9,2,20000,500,0,0,20500,2,1,1,2,3,2,004,0000044943
781,TUS21269,106,2019,2,11,1,7,02,01,4,0110,08,3,0,3,1,3,1,5000,0,0,0,5000,1,1,2,2,2,2,004,0000044943
782,TUS21269,106,2019,2,11,1,7,02,01,4,0110,09,3,0,3,1,3,1,6000,0,0,0,6000,1,1,2,2,2,2,004,0000044943
783,TUS21269,106,2019,2,11,1,7,02,01,4,0110,10,3,0,4,1,9,6,20000,5000,0,0,25000,2,1,1,2,3,2,004,0000044943
784,TUS21269,106,2019,2,11,1,7,02,01,4,0110,11,3,0,3,1,3,2,20000,500,200,0,20700,2,1,1,2,3,2,004,0000044943
785,TUS21269,106,2019,2,11,1,7,02,01,4,0110,12,3,0,3,1,9,2,20000,2000,0,27000,24250,2,1,1,2,3,2,004,0000044943
786,TUS21269,106,2019,2,11,1,7,02,01,4,0110,13,3,0,4,1,3,1,8000,0,0,0,8000,2,1,1,2,3,2,004,0000044943
