,FSU,Sector,State,NSS-region,District,Stratum,Sub-stratum,Sample HHID,PersonID,Serial no of Activity,Time from,Time to,Multi-activity,Simul-activity,Major-activity,Activity code,Where,Paid-unpaid,Type of enterprise,NSC
50969,20124,2,01,011,07,02,01,02,004,015,17:00,18:00,2,0,1,341,1,03,0,000
50970,20124,2,01,011,07,02,01,02,004,016,18:00,19:00,1,2,1,922,1,01,0,000
50971,20124,2,01,011,07,02,01,02,004,017,18:00,19:00,0,0,2,842,1,01,0,000
50972,20124,2,01,011,07,02,01,02,004,018,19:00,20:00,2,0,1,319,1,03,0,000
50973,20124,2,01,011,07,02,01,02,004,019,20:00,21:00,2,0,1,620,1,01,0,000
50974,20124,2,01,011,07,02,01,02,004,020,21:00,21:30,1,2,1,921,1,01,0,000
50975,20124,2,01,011,07,02,01,02,004,021,21:00,21:30,0,0,2,711,1,01,0,000
50976,20124,2,01,011,07,02,01,02,004,022,21:30,23:00,2,0,1,620,1,01,0,000
50977,20124,2,01,011,07,02,01,02,004,023,23:00,04:00,2,0,1,911,1,01,0,000
50978,20124,2,01,011,07,02,01,03,001,001,04:00,05:30,2,0,1,911,1,01,0,000
50979,20124,2,01,011,07,02,01,03,001,002,05:30,06:00,2,0,1,931,1,01,0,000
50980,20124,2,01,011,07,02,01,03,001,003,06:00,07:00,2,0,1,832,2,01,0,000
50981,20124,2,01,011,07,02,01,03,001,004,07:00,08:00,1,2,1,921,1,01,0,000
50982,20124,2,01,011,07,02,01,03,001,005,07:00,08:00,0,0,2,850,1,01,0,000
50983,20124,2,01,011,07,02,01,03,001,006,08:00,09:00,2,0,1,841,1,01,0,000
50984,20124,2,01,011,07,02,01,03,001,007,09:00,11:00,1,1,1,842,1,01,0,000
50985,20124,2,01,011,07,02,01,03,001,008,09:00,11:00,0,0,2,850,1,01,0,000
50986,20124,2,01,011,07,02,01,03,001,009,11:00,13:00,2,0,1,712,2,01,0,000
50987,20124,2,01,011,07,02,01,03,001,010,13:00,14:00,1,1,1,921,1,01,0,000
50988,20124,2,01,011,07,02,01,03,001,011,13:00,14:00,0,0,2,842,1,01,0,000
50989,20124,2,01,011,07,02,01,03,001,012,14:00,16:00,2,0,1,919,1,01,0,000
50990,20124,2,01,011,07,02,01,03,001,013,16:00,17:00,1,2,1,931,1,01,0,000
50991,20124,2,01,011,07,02,01,03,001,014,16:00,17:00,0,0,2,850,1,01,0,000
50992,20124,2,01,011,07,02,01,03,001,015,17:00,19:00,1,1,1,832,1,01,0,000
50993,20124,2,01,011,07,02,01,03,001,016,17:00,19:00,0,0,2,712,2,01,0,000
50994,20124,2,01,011,07,02,01,03,001,017,19:00,20:00,1,1,1,842,1,01,0,000
50995,20124,2,01,011,07,02,01,03,001,018,19:00,20:00,0,0,2,850,1,01,0,000
50996,20124,2,01,011,07,02,01,03,001,019,20:00,21:00,1,1,1,921,1,01,0,000
50997,20124,2,01,011,07,02,01,03,001,020,20:00,21:00,0,0,2,711,1,01,0,000
50998,20124,2,01,011,07,02,01,03,001,021,21:00,22:00,2,0,1,842,1,01,0,000
50999,20124,2,01,011,07,02,01,03,001,022,22:00,04:00,2,0,1,911,1,01,0,000
